filename,berv,snr,nan_count,flux_median,wavelength_start,wavelength_end
2637354t.fits,-26.195032535568018,197.00207579517632,927,0.16162308902035108,1280.7488605100086,1321.249246915967
2497809t.fits,-4.733891857013945,144.91300380472288,936,0.10584600191272353,1280.7482896080378,1321.2490496885964
2607700t.fits,19.880976014986658,196.72202762342488,940,0.1543496362595815,1280.7487004613895,1321.2492384040927
2600829t.fits,26.53648031868353,190.16825449516463,929,0.1444398890104088,1280.7488808709597,1321.2492374947706
2459286t.fits,-16.492404015098632,108.28660175172521,962,0.0850448623088498,1280.753164517434,1321.2540575761366
2921861t.fits,-18.870320079163797,131.60031382866617,923,0.06839644595646992,1280.7475229527693,1321.2484897645772
2759874t.fits,14.091996511643808,172.02930730120286,936,0.11257855766775073,1280.748942418898,1321.2493287036434
2607897t.fits,19.81096139343887,201.1304150100113,931,0.1602256692905962,1280.748745916398,1321.2492704585973
2305116t.fits,-26.320997043289577,259.2368400534804,948,0.17006780455686898,1280.7520821232526,1321.252957988617
2504883t.fits,-19.39502398646462,166.4616924141558,956,0.1314635642710551,1280.7482266925513,1321.2491752115463
3062515t.fits,-26.23828400302295,134.94872030973838,939,0.0646307176707359,1280.7442202476275,1321.2478001764
2305632t.fits,-26.322887052599114,282.27412941393857,935,0.19505449626116322,1280.7519911027998,1321.2529924849207
2515847t.fits,-26.230170903006215,163.95362215268358,930,0.11652282348321619,1280.7484391767,1321.2491571428286
2630359t.fits,-21.12263730045865,184.205669456444,922,0.14275969827470245,1280.7488499189944,1321.2492224946989
3018342t.fits,22.150388886770443,197.29239881507297,932,0.18194882263130513,1280.7443329649436,1321.2480814336325
2872988t.fits,16.515837387877717,190.7521786450639,939,0.129108133829758,1280.746689048217,1321.2484827199953
2469046t.fits,20.728836640343662,138.40933060518626,942,0.09813778347973562,1280.7481436994128,1321.2488795310724
2899882t.fits,-26.151633273600975,186.3413362788022,921,0.12092583519050162,1280.7471413427986,1321.2485417004316
2846110t.fits,18.91179572369006,101.63945191491241,937,0.039819257972293035,1280.7459245165762,1321.2485445767363
3013270t.fits,26.43006926241906,196.79426965361972,929,0.16363631185755215,1280.7441723829993,1321.2476930573232
2877072t.fits,5.762189546093915,204.9692988685913,936,0.14257320051330752,1280.7468421514182,1321.2485385848654
2498660t.fits,-6.335075264114088,89.54860886676559,944,0.047525671799739475,1280.7484201400937,1321.2490067936442
2763097t.fits,5.396852500831161,166.1461150187551,929,0.11136151506405122,1280.7488488941187,1321.2493801705398
2376219t.fits,24.63135296536935,110.8244106400981,945,0.10457698911995729,1280.7517817829887,1321.252833880176
2497994t.fits,-5.063019625312385,171.84835502005217,934,0.14246491249648702,1280.7482986463756,1321.2490458119707
2920458t.fits,-21.47557238466345,181.00635238416785,952,0.12231181096984141,1280.7475898543494,1321.2484364140987
2400341t.fits,23.009094367465178,116.04552872030867,943,0.12689915722627107,1280.7518964462672,1321.2530132162779
2763944t.fits,3.5487441213364868,107.10635382783163,931,0.05481532157723219,1280.7487227810007,1321.2493744160065
2762739t.fits,6.23677439737767,173.45913494232053,938,0.12039691941043283,1280.7487099399827,1321.2493551880145
2469995t.fits,23.140573690110585,141.97780488355372,939,0.10094137184076404,1280.7481880363603,1321.2489426734448
2872558t.fits,17.437999117107907,191.59644470746667,931,0.1288936451670005,1280.7467471698308,1321.2485712056005
2746118t.fits,24.356038499776997,176.2694846075563,941,0.12629540214227905,1280.748792480184,1321.249307797447
3021448t.fits,10.842887260389686,193.62583228937768,963,0.17626625641138707,1280.7443231839343,1321.2481404247706
2454914t.fits,-19.786771692174092,131.95245966796784,938,0.10515674481655218,1280.7530836866479,1321.2538754305033
2518560t.fits,-25.684282763373826,166.39621809998326,939,0.12060362569620763,1280.748463818942,1321.2491701167794
3019933t.fits,19.413976080601785,173.95038313297533,935,0.1393340464052096,1280.7442279311133,1321.2481390797795
2510304t.fits,-24.295015662317866,193.5687183980785,933,0.1575752818887815,1280.7484605391346,1321.2491135311948
2505260t.fits,-20.03234991091065,150.73491958897304,945,0.10790831718722188,1280.7481182803235,1321.2492130077874
2665535t.fits,-21.63894045344058,193.6422869672622,931,0.13082966920058642,1280.7489849897613,1321.249402337913
3062176t.fits,-26.323228978487002,205.02448603574192,926,0.13849291837571248,1280.7440924597959,1321.2478492672988
2400166t.fits,23.302128410641867,117.31143529021975,943,0.12955702178686632,1280.7520079382396,1321.2529577399634
2412963t.fits,15.350194577228821,138.18456496926623,954,0.2674221495106911,1280.7522410695917,1321.2529915112373
2762571t.fits,6.531436161030609,163.78019336788395,939,0.10876241780109126,1280.7487170838363,1321.2493695951982
2504689t.fits,-19.171537644933462,98.88657266735183,959,0.05362913222209266,1280.7482195262598,1321.2491955124162
2469804t.fits,22.84347014584168,133.6732162304286,936,0.09115882757163356,1280.7481356292803,1321.2489573866262
2502720t.fits,-15.18512834752589,160.54241214256152,963,0.12006612400922277,1280.748342094005,1321.2491397936708
